GENE 	AB_1-0	AB_1-1	AB_1-2	AB_1-3	AB_1-4	AB_2-0	AB_2-1	AB_2-2	AB_2-3	AB_2-4	AB_4-0	AB_4-1	AB_4-2	AB_4-3	AB_4-4
ASAH2	32	10	26	10	30	30	6	12	8	14	16	30	18	6	4
ASAH2B	0	10	6	2	10	4	6	4	10	6	16	6	2	2	6
ASAP1	8214	6524	11172	20322	9194	13426	7260	8650	6346	6302	7682	9534	6592	8686	3654
ASAP1-IT1	0	0	0	0	2	0	0	2	0	0	6	0	0	0	0
ASAP2	3334	2064	7298	5848	4626	6506	2792	4856	2788	3750	5804	4156	2926	2322	1710
ASAP3	1278	3718	7084	12632	6834	2672	4738	5540	4186	4960	3794	7842	4186	3984	3410
ASB1	1884	3858	5638	9656	7130	5396	4692	4520	5428	7458	4632	5590	3674	4290	3306
ASB10	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0
ASB11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASB12	6	22	44	114	50	24	8	40	44	42	40	68	60	76	22
ASB13	1332	2020	1682	2060	1572	1686	1394	1038	814	1598	3422	3146	1518	1168	974
ASB14	128	30	112	116	100	132	22	86	88	98	36	74	74	82	22
ASB15	0	0	0	0	0	0	0	0	0	8	2	0	0	6	0
ASB16	26	14	16	20	38	18	24	6	26	52	36	94	8	6	34
ASB17	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB18	0	4	0	0	0	0	10	0	0	0	6	6	0	0	0
ASB2	54	4	2	4	6	22	0	4	0	0	26	2	2	2	0
ASB3	1168	188	550	456	324	338	236	278	182	286	312	342	264	216	138
ASB4	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
ASB5	0	262	526	994	382	2	396	528	990	1878	10	404	86	466	192
ASB6	1552	3032	3082	6558	4098	2536	4428	3142	2776	4380	3898	3994	2350	3242	2234
ASB7	2250	1370	3434	5398	3300	3502	1608	2492	1788	2112	2148	2248	1690	1992	1178
ASB8	1096	606	1506	1622	1076	1190	742	1130	888	1474	1250	906	870	768	632
ASB9	26	4	40	0	0	8	6	28	0	2	2	14	14	2	2
ASB9P1	0	8	20	2	12	72	8	24	2	10	32	24	0	0	6
ASCC1	4676	3112	3738	6264	2850	4214	2358	2542	2070	3136	3132	3448	2506	2932	1286
ASCC2	1724	4246	3836	5264	2924	2186	2988	2430	1622	3498	4012	4298	2782	3840	2130
ASCC3	24584	17858	41456	42308	32758	47182	24688	28044	16548	11336	20452	28286	16046	17710	9938
ASCL1	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0
ASCL2	16	6	0	6	0	24	0	0	0	8	22	10	6	0	0
ASCL3	0	4	4	0	0	0	0	6	0	8	0	8	0	0	0
ASCL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASF1A	20222	7086	15406	12058	11294	11264	5780	8800	6614	8928	8686	8108	4232	4408	5644
ASF1B	1714	2612	4206	1630	2950	1458	1608	2146	774	2576	3276	3690	2030	814	2234
ASGR1	104	366	152	778	414	154	250	248	300	1062	334	556	582	1504	538
ASGR2	14	0	0	0	6	14	0	0	0	0	6	4	0	0	0
ASH1L	3134	2136	4422	7382	5880	7472	2642	4268	3950	3668	3856	4202	2704	2456	1652
ASH2L	5358	2844	13694	23720	20090	4772	2366	8734	17030	43366	4660	4000	8832	21240	13948
ASIP	0	0	0	14	2	0	0	0	4	4	6	4	4	0	8
ASL	568	1568	948	1352	898	774	958	836	774	2644	2188	1878	1810	1550	1544
ASMT	8	4	2	0	0	2	10	0	0	0	6	10	0	0	0
ASMT	8	4	2	0	0	2	10	0	0	0	6	10	0	0	0
ASMTL	2296	3192	2354	10948	4858	2940	3288	2110	2870	4672	5338	4076	3004	4082	2588
ASMTL	2296	3192	2354	10948	4858	2940	3288	2110	2870	4672	5338	4076	3004	4082	2588
ASMTL-AS1	10	58	66	102	98	124	46	116	58	144	76	74	62	58	10
ASMTL-AS1	10	58	66	102	98	124	46	116	58	144	76	74	62	58	10
ASNA1	4076	4998	2736	3270	2372	2258	2874	2068	1868	4950	6782	6254	3826	3462	3424
ASNS	22694	35104	25116	94606	13588	17318	30104	12818	12912	13254	24874	56030	37056	45226	3828
ASNSD1	14976	4656	13384	14516	8698	12882	6062	8542	5570	4754	5216	5630	3118	3006	2002
ASPA	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASPDH	0	0	12	40	62	2	6	16	44	10	0	4	8	14	4
ASPG	18	4	2	2	0	4	6	2	0	8	6	14	6	24	2
ASPH	8070	6868	17442	16116	14648	11184	8196	12514	7948	7032	6802	12522	7470	5494	4296
ASPHD1	228	318	148	214	104	192	128	156	62	146	738	794	604	548	268
ASPHD2	1636	1104	1486	1240	1284	2302	1872	1082	1226	1842	2288	1830	1638	2828	912
ASPM	8958	5320	20846	10838	11816	18080	6862	17404	6796	7776	8588	12536	6834	3248	5044
ASPN	0	0	22	2	4	26	2	8	0	0	2	8	0	0	0
ASPRV1	32	50	94	90	68	34	96	56	58	126	46	90	30	48	46
ASPSCR1	594	1868	598	1760	802	572	1254	550	672	1602	1838	2074	1148	1606	854
ASRGL1	662	1034	1670	4072	4040	1136	950	1296	1592	3628	2272	1718	1262	2008	2074
ASS1	3310	3962	5446	14110	3844	1600	2052	5846	4838	7618	5230	4660	15716	26680	6822
ASTE1	1292	470	1026	1046	886	1270	552	592	548	638	908	604	402	232	318
ASTL	0	0	0	2	0	2	0	0	0	0	2	2	0	0	0
ASTN1	406	86	106	100	50	978	98	122	30	32	916	150	102	54	14
ASTN2	520	576	980	1200	1144	894	536	782	672	1020	1184	884	856	876	826
ASUN	14862	8798	15032	13198	7060	20796	9462	9256	4690	4934	10714	13124	6278	5608	2906
ASXL1	1638	4184	7932	16096	11598	3474	4290	6478	6752	11930	4066	6470	4692	6196	5296
ASXL2	3526	4058	8580	8892	5706	9956	5244	6370	3636	3530	5336	7298	3108	2836	2244
ASXL3	20	20	138	194	206	76	28	104	30	34	64	68	28	46	26
ASZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD1	11950	5986	11150	17964	15420	11672	6430	7508	8006	8780	6130	8530	5902	7356	4400
ATAD2	4730	4398	15442	11922	14212	9184	5362	9892	6194	4780	4602	6576	5672	3836	2780
ATAD2B	2988	2082	4936	8824	3986	5392	2514	3548	2868	3324	3266	3152	2638	3436	1538
ATAD3A	1022	3238	1396	1650	872	1454	1920	1018	658	1970	4630	3932	1976	2242	1576
ATAD3B	2264	6202	2032	1852	642	2526	4296	1446	754	1386	8838	6130	2126	1974	1256
ATAD3C	36	46	24	22	14	20	36	14	10	10	92	44	28	40	4
ATAD5	4528	3236	10220	5994	6514	9500	4498	7026	3674	3076	4456	6712	3502	1838	1288
ATAT1	1210	1620	3226	4746	3000	1298	1324	2214	1810	4736	1972	2972	2546	2228	1998
ATCAY	1396	298	392	1802	206	2320	216	294	72	180	4240	730	754	1444	236
ATE1	1298	900	1742	3582	1870	2110	822	994	1206	1746	1648	1606	1276	2094	832
ATF1	7712	1406	1978	2306	1384	4342	1214	1132	956	1446	7068	1984	1184	1880	722
ATF2	8592	3320	12914	16178	7234	8964	4226	9988	6780	6092	4226	5232	4586	6534	2636
ATF3	2024	2470	2222	7174	1238	1166	1746	1512	2320	3774	2236	3146	1904	5802	1660
ATF4	13196	24740	15370	34304	14518	10898	17002	10116	15270	30930	28994	31232	20660	38478	12308
ATF5	2092	7690	1822	8474	1084	3024	4252	1082	570	1574	6296	7590	4004	8938	876
ATF6	3330	3854	10182	16392	13706	5632	3450	7426	6268	6758	4074	5584	5080	5638	3670
ATF6B	570	930	1482	2534	1752	1054	808	1426	1220	2468	1878	1530	2008	1730	1052
ATF7	1464	1684	3810	11658	4958	3540	1720	2886	2418	3234	1926	2130	2244	4286	1598
ATF7IP	5620	7580	15128	34158	19630	14140	7530	12410	10924	12356	11302	13544	13090	13238	7276
ATF7IP2	2118	1196	4200	2652	1214	3486	1454	3598	2166	1310	1764	2000	1492	1648	516
ATG10	1212	794	1896	2942	2256	1216	756	1272	1120	1076	1002	1404	1130	954	570
ATG12	11838	3468	9136	11390	6628	8834	4140	5176	4394	4406	4592	5410	3304	4590	2082
ATG13	5694	7890	12614	20372	14896	10442	7896	10614	9846	12840	10674	9860	8128	7480	6380
ATG14	2452	1672	3112	4456	2330	5010	1592	2302	1688	2784	3076	2310	1444	2078	1190
ATG16L1	2334	5168	7206	13800	6650	5150	5838	5624	4530	6868	4700	6180	4716	5550	3212
ATG16L2	14	28	66	104	196	62	46	58	130	302	74	148	138	118	90
ATG2A	912	2090	2010	2986	2810	2340	1982	1700	1388	3564	4444	3258	2262	1896	2232
ATG2B	3664	2012	4870	4586	3772	6792	2768	4180	2392	1960	3540	3330	2282	1524	1022
ATG3	3550	1628	1930	1418	1256	2298	782	1170	790	1672	2336	2470	1494	1936	1362
ATG4A	594	570	1788	1156	1216	642	716	1338	964	930	550	634	654	566	678
ATG4B	3030	6664	3364	6262	4820	3156	4276	2794	2968	7688	7352	7690	3922	5216	4174
ATG4C	5094	2606	6158	6424	6924	6554	2848	3818	2792	2360	3490	4716	2204	1848	1704
ATG4D	1020	1652	2248	3530	1698	898	1114	1610	1372	3284	2188	2042	2338	3078	1938
ATG5	6544	4586	8658	8844	5374	9454	4500	5270	3474	3664	6120	6398	2828	2808	2228
ATG7	1282	1092	1708	3206	1966	1510	1242	1402	1220	2112	1676	1636	1290	1712	984
ATG9A	2620	5908	8810	14882	11040	4876	4642	6712	6898	16818	7000	7024	8288	10800	9412
ATG9B	34	18	54	96	68	40	18	38	58	42	112	36	50	46	36
ATHL1	154	600	972	1606	2402	540	1128	1234	1830	5494	1618	2596	1582	1386	1648
ATIC	30100	27720	20900	20498	13546	28806	22032	12574	9370	14906	33802	29644	14836	17098	9240
ATL1	1252	324	768	420	292	1324	568	562	284	114	694	532	170	90	100
ATL2	14678	9140	57558	59236	37406	25714	11136	34492	27172	28026	11186	12572	19766	19970	9992
ATL3	1438	1658	3108	5790	4496	2216	1324	2428	2582	4284	2224	2112	2020	2670	2024
ATM	7358	4576	10504	16558	12168	16162	6512	8744	7518	5898	6742	7792	3806	3490	2110
ATMIN	20198	10456	21818	18178	12396	22300	9792	13466	10342	13326	16074	12732	8108	7972	6424
ATN1	3094	8246	9344	18884	9432	4562	4994	6366	6632	21938	10720	10462	11630	20084	11854
ATOH1	0	0	0	16	12	6	0	0	4	8	2	0	0	0	0
ATOH7	24	8	4	24	6	12	0	4	6	4	26	4	0	4	0
ATOH8	0	554	142	280	160	48	444	82	48	150	52	402	52	72	128
ATOX1	3072	1360	826	1090	1466	658	800	736	896	2910	2294	1976	1960	1808	1946
ATP10A	682	246	216	200	84	980	220	102	32	42	954	288	214	152	52
ATP10B	0	4	0	14	8	2	6	2	10	14	26	0	0	0	0
ATP10D	350	118	310	562	284	536	118	242	216	236	292	194	108	142	100
ATP11A	3620	3912	10046	18120	13608	7088	4158	7214	7256	10390	7256	6258	7512	8296	5754
ATP11B	5370	3110	20822	24932	17436	8330	3990	16986	13098	12084	4028	5378	9950	9558	4458
ATP11C	11492	9292	18540	19490	15506	23510	11634	14046	7162	5922	11330	15922	7802	6454	3836
ATP12A	42	528	510	556	1906	60	244	326	484	636	140	538	656	1490	1726
ATP13A1	2494	5864	3518	7628	5166	4308	6164	2868	2806	6176	8536	8332	3506	4040	2954
ATP13A2	2816	5584	3978	7958	6398	4364	4822	3236	3042	8590	9924	8494	5274	6840	6104
ATP13A3	25470	16020	43532	47074	52248	40026	21552	26902	21072	16476	14690	20774	12136	15592	8630
ATP13A4	0	2	8	16	28	4	6	2	10	26	0	4	8	6	2
ATP13A5	0	0	20	6	4	2	0	2	0	0	4	0	0	2	0
ATP1A1	33000	85884	87128	115228	167330	66674	66964	65288	67682	190736	83140	101568	81298	99750	107730
ATP1A1OS	36	38	82	80	124	40	46	50	26	86	40	84	96	34	34
ATP1A2	800	248	170	1320	396	2574	570	264	96	96	2040	1318	846	822	102
ATP1A3	2908	1864	604	404	164	3840	1554	360	80	180	9702	2994	1008	612	246
ATP1A4	2	12	18	12	4	20	8	10	10	6	20	18	12	6	4
ATP1B1	8918	4626	9226	35768	46970	9798	3838	6104	8194	8842	7148	5166	3096	6900	9720
ATP1B2	1228	192	220	3250	3008	1794	98	264	878	3414	1996	324	406	1618	1074
ATP1B3	22556	22280	52648	40790	31314	27114	18218	25068	20594	23218	23186	32802	18094	16036	13288
ATP1B4	0	0	16	2	0	0	0	10	16	0	2	6	0	0	4
ATP2A1	32	80	76	138	162	66	116	90	60	374	134	132	152	148	142
ATP2A2	40816	49360	70164	82964	54468	78504	51608	50976	38992	71592	73054	66544	43860	63598	34722
ATP2A3	442	522	210	134	104	658	296	184	58	130	2226	788	316	162	324
ATP2B1	8474	7156	24044	39228	27024	15798	9482	15496	12494	9846	7386	11262	4318	5822	6006
ATP2B2	18	22	170	92	12	44	8	98	12	8	42	76	258	824	12
ATP2B3	0	0	2	6	0	14	0	0	0	0	60	0	4	4	4
ATP2B4	1426	2358	11260	32824	19854	2868	3294	13650	9060	6532	1740	3926	9100	8008	4742
ATP2C1	14712	10890	23670	27968	17926	21046	12924	16686	13068	16394	13972	17130	12332	14530	6810
ATP2C2	16	24	16	28	24	68	26	28	32	62	166	60	20	14	36
ATP4A	4	14	0	6	24	22	14	14	6	24	42	48	4	22	8
ATP4B	0	0	14	2	8	6	0	10	18	34	0	0	6	4	24
ATP5A1	67010	53454	102282	164314	98194	70106	48342	69986	65714	92062	88624	82472	65116	86966	49600
ATP5B	78552	109746	137986	130642	84976	84042	77980	88088	61746	111188	141762	135492	102566	95312	63152
ATP5C1	23442	13138	22378	19834	13952	14192	9696	13522	10646	13846	18656	20828	11842	11878	8376
ATP5D	1130	1666	494	768	568	590	878	408	588	2728	2754	2336	2224	2634	2208
ATP5E	4780	1202	996	1266	1162	510	858	900	908	2850	1592	1860	1696	2216	1588
ATP5EP2	468	54	116	86	86	18	20	50	48	68	82	94	64	62	32
ATP5F1	31584	18980	29890	14652	12132	20022	12224	14084	7314	14780	27848	27262	17120	13750	9482
ATP5G1	6080	1234	856	570	918	1480	1034	706	582	1184	3040	1952	1220	1082	976
ATP5G2	8946	4206	1934	3276	2492	2992	1634	1516	1976	10690	8056	5502	6604	10934	5424
ATP5G3	88548	25446	51652	24764	25306	28520	21774	31194	16346	26248	32256	33274	25326	19208	15400
ATP5H	14240	10218	5010	5228	4466	4682	6662	4108	4518	9750	10816	14810	7902	6402	6172
ATP5I	4488	910	362	346	442	448	508	276	390	1162	1938	1376	904	894	850
ATP5J	23228	3862	4790	4476	4388	7318	4824	3972	3044	3332	4816	4670	2726	2330	2220
ATP5J2	18692	4184	2630	2386	2580	4902	1220	1896	1600	6558	6590	3868	5070	5000	4538
ATP5J2-PTCD1	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0
ATP5L	12206	5062	4464	3680	4160	3538	3644	3150	2974	7766	8268	7682	5762	6760	4924
ATP5L2	36	20	22	36	38	16	18	12	8	20	38	70	52	44	36
ATP5O	10150	4796	3676	3888	3628	3364	2322	2564	2484	6292	8508	7336	4910	5924	3550
ATP5S	1714	582	1052	1348	652	1230	600	660	466	394	876	924	332	446	194
ATP5SL	3532	3708	4278	8034	4182	4160	3636	3336	3330	5668	6324	5666	4824	5528	3688
ATP6AP1	4224	6594	7578	15888	12040	4620	4006	5882	6366	15758	9528	8056	7860	12240	10324
ATP6AP1L	22	28	56	232	156	8	26	52	82	136	10	62	58	64	28
ATP6AP2	29496	8562	24220	28326	28420	29794	12072	19242	13644	12904	11690	12588	8726	8366	7160
ATP6V0A1	2024	3194	4478	9916	5384	4514	2764	3244	3304	5120	4502	4296	2592	4768	2494
ATP6V0A2	7540	4022	7478	12408	9732	10122	4386	5858	5678	6568	6454	5952	3608	6262	2800
ATP6V0A4	68	22	8	42	16	44	16	6	4	6	68	26	2	26	6
ATP6V0B	4660	5402	6164	4250	3808	1600	2360	2238	2248	6772	5882	6328	3484	4046	3588
ATP6V0C	9546	7644	3854	4524	5352	4154	3892	3186	3074	13328	13404	10486	7314	6628	8182
ATP6V0CP3	2	8	0	2	2	2	0	2	0	8	14	10	6	4	10
ATP6V0D1	4652	7944	5420	4724	3804	4030	4800	3664	2506	10060	10202	9370	6572	5540	6898
ATP6V0D2	2	4	14	732	330	0	4	52	172	106	0	0	42	150	142
ATP6V0E1	19696	5554	9776	9612	9070	8578	5766	4856	3810	5298	7402	6396	3000	3790	3764
ATP6V0E2	1008	980	372	784	784	1036	898	270	396	1330	2898	1452	306	690	882
ATP6V1A	22250	8910	30674	35382	26536	31160	12894	22088	17178	15086	16464	15978	13578	12682	8180
ATP6V1B1	0	0	2	4	0	2	0	2	0	0	0	0	12	2	2
ATP6V1B2	7644	13190	31228	18310	10526	14780	15780	24070	23416	33506	10382	11774	21546	19582	11216
ATP6V1C1	11648	4154	9272	9600	7618	17538	5116	6460	3330	3278	7724	6792	3130	3120	2330
ATP6V1C2	238	160	270	264	366	376	236	236	204	250	342	328	188	176	158
ATP6V1D	6896	4956	9808	6192	6644	4548	4268	5432	3552	5012	4992	7866	3962	2560	3244
ATP6V1E1	10020	4718	6636	9522	6588	4768	4374	4490	4308	7824	4466	6404	3824	5386	4690
ATP6V1E2	14	150	168	182	136	34	164	102	88	190	64	332	194	108	106
ATP6V1F	3006	1306	1036	1730	1204	744	618	790	1142	2972	2348	1940	1588	2692	1606
ATP6V1G1	30542	6416	9652	7846	5648	11574	5942	4498	3354	6556	10690	8926	4772	4924	3386
ATP6V1G2	206	64	138	176	166	142	26	126	100	106	162	64	146	166	72
ATP6V1G2-DDX39B	0	4	0	2	2	4	4	0	0	0	2	2	0	4	0
ATP6V1G3	0	0	0	6	24	0	0	0	0	0	0	0	0	0	0
ATP6V1H	3766	3354	5064	5562	3970	3334	3096	3552	2584	4320	3510	4774	3822	3100	2524
ATP7A	420	434	2102	4072	2522	766	598	1712	1524	1098	396	830	914	796	438
ATP7B	348	812	870	3668	3422	1114	986	814	1224	3220	1394	1346	620	1756	1334
ATP8A1	2624	550	5292	20918	11992	4518	770	3962	8360	4166	1968	1204	1042	3144	2226
ATP8A2	488	304	230	186	24	1062	290	228	52	82	870	344	174	296	78
ATP8B1	1414	306	944	1104	618	2252	206	636	464	896	1026	506	682	1012	330
ATP8B2	4546	5706	7806	7872	5944	7762	6998	6604	3432	5382	8960	10356	6112	4274	2844
ATP8B3	2	42	370	1852	726	14	42	344	484	852	44	136	588	724	330
ATP8B4	28	2	250	624	174	26	16	172	320	166	16	16	2	40	150
ATP8B5P	348	190	458	416	316	264	168	266	138	234	208	218	140	120	88
ATP9A	902	1370	1644	8892	11410	2312	1542	1340	2502	4334	1812	1936	842	1790	2094
ATP9B	1154	1346	1784	3982	1754	2160	1614	1268	1164	1338	1858	1954	896	1268	742
ATPAF1	16564	6020	13954	23844	18598	17046	8790	10422	9792	9468	10480	9352	4896	3716	3656
ATPAF1-AS1	0	0	2	2	6	10	0	4	4	0	0	0	0	2	0
ATPAF2	630	676	880	618	296	552	354	702	1224	5156	1096	994	1128	1648	1704
ATPBD4	1314	176	422	1158	902	990	156	302	406	440	450	310	338	584	200
ATPIF1	10154	2168	1586	1770	2060	2644	1528	1072	1472	4662	5268	3334	2496	3162	2926
ATR	4970	3212	9688	6270	6448	9768	4628	7032	3304	2986	4220	6222	3440	1374	1456
ATRIP	452	750	774	920	540	806	824	518	370	572	1184	1080	712	472	428
ATRN	4018	3692	7828	13572	11258	6606	4138	6288	5492	7342	5402	5806	4088	4442	3434
ATRNL1	516	950	1274	3482	3038	742	828	946	2232	2502	600	1490	702	1376	1478
ATRX	14520	6924	13666	28332	23308	25814	9608	13358	15786	13684	11362	12616	6168	8822	4662
ATXN1	62	202	476	798	600	146	234	378	526	1212	102	478	358	490	278
ATXN10	27808	27432	49816	78282	44668	38492	36676	33666	28394	35518	34522	35980	29014	32116	17776
ATXN1L	2980	5554	9162	13940	9032	8614	5764	6432	5124	8620	6826	7446	3950	5496	3962
ATXN2	2504	2292	3950	8010	3702	3276	1664	2804	2578	4254	3610	4174	3114	5262	2460
ATXN2L	22316	18028	17386	47034	20558	17820	19500	15350	13332	20460	22684	26156	17588	24138	9570
ATXN3	3888	1170	2382	3294	2416	3356	1480	2340	1692	1428	1620	2576	1342	1358	784
ATXN3L	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ATXN7	3084	2388	4262	9314	4444	3592	2450	3188	5326	6450	2272	3406	2772	4728	2128
ATXN7L1	2918	1262	1214	1574	828	4996	1142	1022	546	686	4086	2008	958	1098	400
ATXN7L2	312	354	70	232	142	276	146	88	46	186	690	300	128	228	106
ATXN7L3	4196	12596	17146	25606	16292	9384	11080	12486	11208	24814	18292	19874	14572	17140	15348
ATXN7L3B	15880	17044	57504	29016	44312	31276	19492	37762	25540	38832	27382	28132	23668	11210	22006
ATXN8OS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUH	734	340	584	656	540	740	380	430	328	466	752	728	412	352	256
AUP1	4566	7356	3746	5952	3122	4068	3744	2574	2046	6690	7784	6768	4280	7526	3294
AURKA	13262	13010	26786	31668	13576	21072	16008	22686	8376	14906	11536	15996	11584	10782	7828
AURKAIP1	2856	3202	1102	1516	1088	1086	1780	1178	964	3562	5798	4524	3242	3128	2690
AURKAPS1	222	168	268	334	110	434	236	242	100	88	182	160	88	112	16
AURKB	3316	3042	2870	3108	1596	2956	2176	2314	1382	4870	6540	4406	4554	3922	2740
AURKC	0	68	56	72	48	60	48	40	40	66	188	200	98	170	34
AUTS2	21226	5184	13712	16660	9390	15988	5848	13234	12618	19782	13148	6918	12928	12366	6338
AVEN	1024	2036	1754	1890	1212	1252	1102	924	918	2000	2218	2636	1088	1640	990
AVIL	72	100	118	130	136	238	62	138	60	76	106	88	52	40	24
AVL9	2942	1918	5582	10864	5384	5386	2544	4116	3950	4856	3228	3550	2564	4286	2000
AVP	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AVPI1	282	164	106	106	84	114	94	60	48	98	512	302	134	250	152
AVPR1A	32	2	2	6	0	66	10	8	0	8	54	12	0	0	0
AVPR1B	0	0	0	0	0	12	8	0	0	0	4	8	2	2	2
AVPR2	0	6	2	34	0	0	20	14	6	6	18	6	10	14	4
AWAT1	0	0	2	16	0	0	0	0	2	0	0	0	0	0	0
AWAT2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AXDND1	34	20	18	44	12	10	36	22	14	24	10	48	12	10	2
AXIN1	1698	4060	2098	4148	2030	2120	2876	1772	1806	5052	5088	5190	3920	5560	3228
AXIN2	1310	27694	6306	8924	5944	3670	29626	5538	6970	9460	2942	24662	3936	4690	3826
AXL	4510	1806	3286	9210	6166	3600	1582	2710	2114	2760	5014	2920	5182	14146	3620
AZGP1	16	0	2	0	0	10	0	0	0	0	32	0	0	0	0
AZGP1P1	16	2	0	0	0	0	0	0	0	0	4	0	0	0	0
AZI1	150	570	230	416	280	276	332	206	224	1144	1410	992	850	1108	564
AZI2	6770	6448	15222	13614	8624	7242	5850	9294	7250	7760	5036	9048	5868	7158	3434
AZIN1	99566	34870	67614	55856	40228	98842	49912	42340	25300	20046	45774	50606	22802	21916	15494
AZU1	2	4	10	226	172	6	14	34	66	194	4	18	76	96	58
B2M	9558	3294	7690	12032	11654	5862	3284	6506	5186	4356	5098	4668	6442	5818	3640
B3GALNT1	3218	1164	1628	2294	3790	3970	1242	1530	2144	3322	1830	1418	896	1026	738
B3GALNT2	8312	6138	11654	9400	7970	9686	6114	7162	4260	4422	6974	9858	4550	4178	2918
B3GALT1	1706	178	270	428	406	2622	188	166	60	64	1824	406	162	222	68
B3GALT2	0	0	0	14	12	8	2	8	4	0	2	0	4	0	0
B3GALT4	10	12	12	82	136	34	20	28	54	368	54	30	120	90	206
B3GALT5	626	108	152	370	230	2828	84	84	82	110	2208	156	104	334	222
B3GALT6	1030	1620	2066	3046	2852	1188	1092	1656	1908	4482	2364	1784	2376	1432	2114
B3GALTL	1254	900	4904	3928	3690	1184	1084	3164	1894	1280	726	1124	884	820	1104
B3GAT1	1232	1090	1362	1936	1780	1982	692	566	406	654	3428	1798	678	688	554
B3GAT2	24	8	34	294	106	14	10	16	42	142	38	6	38	162	18
B3GAT3	332	1156	798	1782	1368	364	660	558	794	3688	1208	1640	2128	2122	2822
B3GNT1	1028	992	1602	2382	2976	672	674	1340	1844	4412	1988	1774	1884	1916	2582
B3GNT2	8986	3758	23440	7274	5262	7542	4320	17864	13256	9428	4408	5430	8262	9278	6780
B3GNT3	14	6	28	56	6	46	2	14	2	4	42	16	30	8	2
B3GNT4	0	38	70	154	160	14	38	46	34	244	40	40	36	76	188
B3GNT5	2468	1114	15248	10484	9832	2360	1264	10070	14134	8804	1740	1656	4728	5080	5000
B3GNT6	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
B3GNT7	3070	7644	2500	1618	1152	3224	5816	2198	1852	3010	6164	9978	3364	5460	2182
B3GNT8	4	70	182	584	162	10	62	126	100	166	54	118	214	316	210
B3GNT9	122	182	304	1198	822	72	152	276	240	780	204	430	562	654	382
B3GNTL1	294	260	116	410	208	290	178	164	184	268	524	346	194	250	178
B4GALNT1	76	62	124	118	30	50	80	72	42	36	120	70	34	30	44
B4GALNT2	12	0	2	10	2	0	0	0	4	8	0	0	0	4	2
B4GALNT3	492	4074	4238	5874	4786	1406	5278	3036	2976	3784	1498	5548	2350	2684	3186
B4GALNT4	1316	2924	2688	4386	4252	2648	2594	2380	2254	7382	7570	5438	3366	4758	3462
B4GALT1	3966	5768	13048	25948	29502	4108	4836	9614	9926	12844	4038	7780	7458	7608	8246
B4GALT2	1662	4478	3568	3238	2822	1532	2388	2356	2258	4998	4790	5932	4346	5240	4282
B4GALT3	3146	4938	4840	8036	5196	3368	3274	3560	2888	8168	6386	6796	6704	9658	4844
B4GALT4	4794	2246	39704	32864	24080	6130	2728	29316	26074	33588	4638	4108	18488	24820	16156
B4GALT5	10442	14312	15200	27790	19152	21552	12198	10372	10300	16954	20458	19474	10466	17020	7582
B4GALT6	11356	2600	4230	7826	5688	10006	2874	2826	2296	2108	4914	4258	1736	3202	1284
B4GALT7	856	774	850	1254	1262	720	502	654	542	1850	1968	1402	926	930	972
B7H6	238	86	62	58	162	312	142	40	10	12	336	176	20	4	12
B9D1	582	858	548	914	482	294	578	580	424	1320	886	1834	1560	1206	668
B9D2	448	412	280	490	360	250	432	260	270	600	522	368	350	414	368
BAALC	246	108	210	182	114	304	76	198	386	514	120	148	182	86	86
BAAT	2	24	34	14	4	36	14	18	6	4	2	22	12	0	2
BABAM1	5556	5160	3456	4664	4194	3590	3814	2812	2600	6336	7040	7234	5024	4974	4266
BACE1	890	2616	8302	10438	6620	1538	2592	6552	6652	11970	1352	4550	6574	6586	5204
BACE1-AS	70	46	134	292	240	90	72	92	134	210	96	322	124	100	84
BACE2	846	2840	3536	4758	2854	1236	2778	3090	1362	1648	1520	4686	3236	4810	1726
BACH1	8834	3602	9660	15796	7508	10708	4232	6752	5606	4808	5226	4794	3976	5688	2630
BACH2	714	468	806	2534	918	862	430	630	638	988	758	578	400	682	652
BAD	168	276	194	374	268	86	124	128	194	1180	492	422	504	712	658
BAG1	5028	3480	2624	3362	1494	5004	2986	1786	1198	1654	3954	3968	1172	1578	856
BAG2	5452	3830	7984	5650	2860	3878	3822	3846	1802	1452	3304	5710	1318	1542	970
BAG3	1190	3182	8902	8560	2430	1434	2202	7490	6398	12146	2924	3918	12238	15904	11156
BAG4	14214	4836	12104	13046	9574	13992	5902	7942	5304	4662	6962	7214	3696	4656	2566
BAG5	7580	7190	9888	6212	5014	11892	6978	5592	2648	3784	8500	10246	2730	2544	2210
