GENE 	AB_1-0	AB_1-1	AB_1-2	AB_1-3	AB_1-4	AB_2-0	AB_2-1	AB_2-2	AB_2-3	AB_2-4	AB_4-0	AB_4-1	AB_4-2	AB_4-3	AB_4-4
SP140L	30	60	44	20	16	24	46	8	8	12	30	78	40	48	18
SP2	400	936	648	1002	604	566	596	556	346	976	1456	1300	906	860	630
SP3	15868	6116	17830	19762	12076	15916	7516	13492	12124	8372	7254	7872	7372	8436	4090
SP4	3588	1042	3018	3610	2306	3990	1326	1836	800	736	1792	1710	984	860	466
SP5	58	34576	812	11046	5222	60	16518	524	1250	3412	100	40314	1946	6838	4272
SP6	96	4742	370	5354	3250	90	3678	254	150	152	82	4972	514	718	168
SP7	0	12	14	16	6	0	50	10	10	18	0	60	10	0	0
SP8	574	4262	4450	13996	11326	518	3706	1964	3264	3860	576	6632	1696	6172	4462
SP9	2	8	0	2	2	0	6	0	0	24	2	8	0	4	12
SPA17	830	192	1348	1068	988	368	280	886	646	514	260	366	356	158	240
SPACA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPACA3	0	0	0	20	0	0	0	0	0	10	0	6	0	14	0
SPACA4	48	46	42	16	0	44	26	20	10	20	176	152	22	6	12
SPACA5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
SPACA5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPACA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG1	532	706	804	818	918	528	752	724	180	200	264	856	528	466	248
SPAG11A	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SPAG11B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG16	2396	892	2142	3292	2956	1818	792	1242	1762	2332	1228	1538	1052	1140	874
SPAG17	24	74	66	78	50	62	136	44	48	26	50	86	14	6	14
SPAG4	92	46	38	366	154	8	62	72	258	988	40	70	252	226	204
SPAG5	11456	8572	16506	18558	9884	19938	11850	14492	5952	9720	12270	12772	10300	7766	5396
SPAG5-AS1	18	44	44	26	62	84	18	28	2	44	52	84	6	16	16
SPAG6	2	8	8	20	70	12	8	0	18	52	4	18	2	4	22
SPAG7	2994	2016	1912	3368	2172	1742	1520	1566	1920	5060	3598	2866	3116	4994	3072
SPAG8	26	4	24	16	44	26	12	20	20	26	20	40	14	12	2
SPAG9	4472	6456	16070	27148	16060	9658	6738	11488	10438	10030	6512	10364	8556	11746	5870
SPAM1	0	10	0	0	10	0	18	0	0	8	2	18	0	0	0
SPANXA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXA2-OT1	0	4	282	1380	662	12	6	194	288	108	2	10	8	44	44
SPANXB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXC	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SPANXD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN3	16	24	2	0	0	0	20	4	0	0	0	14	6	0	0
SPANXN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPARC	42496	36630	119068	159616	116692	48624	30166	103838	66606	80948	46002	51458	99468	114304	68488
SPARCL1	204	34	204	358	346	80	36	200	318	660	140	48	510	382	230
SPAST	22674	4594	13988	15378	10142	19642	5982	8542	6054	4176	6696	6020	3088	3322	2108
SPATA12	18	24	16	8	8	14	16	18	6	6	34	38	10	0	0
SPATA13	6162	5046	4784	7276	4024	9928	5594	3176	2242	1592	5700	6172	1426	1826	1594
SPATA16	6	66	84	18	2	0	68	24	2	0	0	92	56	292	14
SPATA17	100	52	128	88	120	64	46	88	84	58	36	144	50	10	30
SPATA18	98	332	536	614	1202	298	254	368	484	690	132	534	290	238	382
SPATA19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA2	1374	2056	1462	1710	1176	1866	1582	932	704	1458	3138	2832	1172	1018	818
SPATA20	824	1504	952	3710	2488	848	922	772	1710	6438	2622	2184	2134	3514	2626
SPATA21	28	0	2	8	0	0	0	0	0	0	8	0	0	0	0
SPATA22	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0
SPATA24	164	82	228	248	240	64	74	232	246	244	144	124	258	128	114
SPATA25	0	6	24	12	28	14	24	12	6	38	36	58	12	12	16
SPATA2L	124	696	216	572	412	214	542	180	270	1136	802	1054	336	548	466
SPATA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA4	0	12	0	0	0	0	18	0	0	0	0	26	0	2	2
SPATA5	3052	1800	3030	2832	2070	3986	1888	2112	1138	1202	2568	3064	1570	1388	864
SPATA5L1	3374	2168	3524	4076	2566	2910	3042	2134	1362	1508	1888	2576	1072	1660	762
SPATA6	2010	832	2946	8558	5792	2562	1070	2542	3102	3260	1226	1824	1446	1416	1256
SPATA7	602	422	1400	2938	3534	530	494	998	1184	2172	596	1256	738	1034	796
SPATA8	0	0	10	28	6	4	0	4	0	6	0	2	2	22	0
SPATA9	0	4	150	46	48	0	10	176	118	186	2	2	34	12	32
SPATC1	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0
SPATS1	12	2	0	0	0	6	6	2	0	0	2	4	0	0	0
SPATS2	2138	3778	6226	10878	5200	3126	3948	4292	3626	4538	2680	5556	3658	4440	1974
SPATS2L	14268	9762	10898	17776	9994	18550	7198	9414	10794	17674	25166	11500	11562	25220	10158
SPC24	418	282	680	536	618	506	390	954	262	506	496	584	534	230	220
SPC25	7468	1492	3364	2158	3200	3762	2126	2716	1312	1558	2780	3136	1454	632	838
SPCS1	6664	3422	4284	3688	4034	3434	1754	3312	2198	5372	5036	5528	3366	4270	3010
SPCS2	3630	1624	1824	1864	1980	2126	2274	1624	1102	1738	2524	2722	1450	1250	872
SPCS3	53070	20030	73072	58936	65864	48556	26226	47534	33828	26474	16126	31362	16894	17680	10952
SPDEF	0	0	16	42	38	6	0	14	8	34	0	10	12	10	22
SPDYA	124	14	48	32	60	84	28	38	16	22	20	12	20	2	2
SPDYC	0	2	0	0	4	6	0	0	0	8	4	0	6	16	0
SPDYE1	52	32	24	24	14	36	16	54	42	22	42	44	14	2	6
SPDYE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPDYE2L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPDYE3	34	50	36	38	32	20	56	34	58	110	66	120	42	54	48
SPDYE4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6
SPDYE5	0	16	28	30	42	74	10	30	18	52	52	56	26	16	2
SPDYE6	0	20	10	16	20	20	0	20	2	20	38	16	8	6	10
SPDYE7P	100	64	54	68	42	138	82	88	86	158	84	130	58	44	20
SPDYE8P	0	0	0	16	26	20	6	14	16	10	8	12	0	0	2
SPECC1	4168	4286	4928	11630	5352	7226	4256	4156	3146	4756	7922	7760	5586	8070	3740
SPECC1L	4472	9054	9600	18592	8730	11842	10084	7212	6734	9404	11364	11490	7144	10246	5220
SPEF1	0	14	10	6	4	24	24	10	0	32	20	14	4	0	8
SPEF2	112	102	206	324	230	200	134	214	120	158	68	142	54	54	28
SPEG	200	60	196	1662	644	370	64	188	294	622	1100	206	642	1044	272
SPEM1	0	0	4	0	2	6	0	2	0	0	8	2	0	0	2
SPEN	4720	9178	14372	24632	13542	13288	10818	11664	10394	17228	12904	16264	9738	11878	8044
SPERT	0	0	0	0	2	0	8	0	0	0	0	0	4	0	0
SPESP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SPG11	4448	3348	12550	21154	13328	9694	4786	10282	8446	6262	4932	6830	6368	4274	2872
SPG20	7274	10466	25684	30482	10684	6096	11478	14994	13566	12280	7218	20054	11744	19328	7312
SPG20OS	0	48	22	28	8	12	40	6	28	26	22	26	14	16	10
SPG21	9666	4738	10206	17280	11308	6340	4202	6416	6106	8530	6802	6974	5374	6198	4158
SPG7	3486	2978	3366	6646	5198	4080	3390	3108	3136	5226	6224	5590	3144	2910	3238
SPHAR	782	104	504	372	310	394	112	122	108	76	222	200	94	132	38
SPHK1	18	74	34	22	66	34	34	30	6	32	110	84	46	78	48
SPHK2	594	1624	1196	2214	2682	832	832	998	1318	6088	3712	2064	1504	1740	2742
SPHKAP	12	10	112	294	32	0	14	86	18	2	2	20	66	38	18
SPI1	0	0	0	4	0	0	0	0	0	2	0	4	8	18	2
SPIB	1836	156	72	54	14	1436	178	76	2	12	3184	200	52	50	10
SPIC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
